vocab_id,merge_key,kana,kanji,jlpt_level,jlpt_numeric,english_definitions_json,sources_json,genki_chapters_json,jmdict_seq_json,mapping_methods_json,matched_on_json
80,あまぐ||雨具,あまぐ,雨具,N1,1,"[""rain gear""]","[""jlpt_n1""]",[],[1171940],"[""jlpt_source""]",[]
81,あまつ||天津,あまつ,天津,N1,1,"[""heavenly, imperial""]","[""jlpt_n1""]",[],[1438200],"[""jlpt_source""]",[]
82,あみ||網,あみ,網,N1,1,"[""net, network""]","[""jlpt_n1""]",[],[1534380],"[""jlpt_source""]",[]
83,あめつち||天地,あめつち,天地,N1,1,"[""heaven and earth, the universe, nature, top and bottom, realm, sphere, world""]","[""jlpt_n1""]",[],[1582090],"[""jlpt_source""]",[]
84,あやつる||操る,あやつる,操る,N1,1,"[""to manipulate, to operate, to pull strings""]","[""jlpt_n1""]",[],[1400010],"[""jlpt_source""]",[]
85,あやふや||,あやふや,,N1,1,"[""uncertain, vague, ambiguous""]","[""jlpt_n1""]",[],[1000510],"[""jlpt_source""]",[]
86,あやぶむ||危ぶむ,あやぶむ,危ぶむ,N1,1,"[""to fear, to have misgivings, to be doubtful, to mistrust""]","[""jlpt_n1""]",[],[1218410],"[""jlpt_source""]",[]
87,あやまち||過ち,あやまち,過ち,N1,1,"[""fault, error, indiscretion""]","[""jlpt_n1""]",[],[1196010],"[""jlpt_source""]",[]
88,あやまる||誤る,あやまる,誤る,N1,1,"[""to make a mistake""]","[""jlpt_n1""]",[],[1271300],"[""jlpt_source""]",[]
89,あゆみ||歩み,あゆみ,歩み,N1,1,"[""walking""]","[""jlpt_n1""]",[],[1514330],"[""jlpt_source""]",[]
90,あゆむ||歩む,あゆむ,歩む,N1,1,"[""to walk, to go on foot""]","[""jlpt_n1""]",[],[1514360],"[""jlpt_source""]",[]
91,あら||,あら,,N1,1,"[""oh, ah, saw-edged perch (Niphon spinosus)""]","[""jlpt_n1""]",[],[1000520],"[""jlpt_source""]",[]
92,あらかじめ||予め,あらかじめ,予め,N1,1,"[""beforehand, in advance, previously""]","[""jlpt_n1""]",[],[1542860],"[""jlpt_source""]",[]
93,あらす||荒らす,あらす,荒らす,N1,1,"[""to lay waste, to devastate, to damage, to invade, to break into""]","[""jlpt_n1""]",[],[1281480],"[""jlpt_source""]",[]
